,행정구역,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,구명
1,서울특별시 종로구 (1111000000),"141,433","72,773",1.94,"68,399","73,034",0.94,종로구
2,서울특별시 중구 (1114000000),"120,555","63,492",1.9,"58,557","61,998",0.94,중구
3,서울특별시 용산구 (1117000000),"218,175","109,778",1.99,"104,860","113,315",0.93,용산구
4,서울특별시 성동구 (1120000000),"280,474","133,517",2.1,"136,361","144,113",0.95,성동구
5,서울특별시 광진구 (1121500000),"337,071","169,648",1.99,"162,329","174,742",0.93,광진구
6,서울특별시 동대문구 (1123000000),"337,293","170,766",1.98,"165,962","171,331",0.97,동대문구
7,서울특별시 중랑구 (1126000000),"385,129","187,776",2.05,"189,306","195,823",0.97,중랑구
8,서울특별시 성북구 (1129000000),"430,170","197,673",2.18,"206,753","223,417",0.93,성북구
9,서울특별시 강북구 (1130500000),"293,119","144,506",2.03,"142,254","150,865",0.94,강북구
10,서울특별시 도봉구 (1132000000),"310,853","138,384",2.25,"150,964","159,889",0.94,도봉구
11,서울특별시 노원구 (1135000000),"502,820","217,926",2.31,"241,743","261,077",0.93,노원구
12,서울특별시 은평구 (1138000000),"465,627","214,070",2.18,"221,790","243,837",0.91,은평구
13,서울특별시 서대문구 (1141000000),"308,194","146,908",2.1,"146,671","161,523",0.91,서대문구
14,서울특별시 마포구 (1144000000),"365,447","180,807",2.02,"171,284","194,163",0.88,마포구
15,서울특별시 양천구 (1147000000),"440,042","181,177",2.43,"215,195","224,847",0.96,양천구
16,서울특별시 강서구 (1150000000),"568,666","274,186",2.07,"272,826","295,840",0.92,강서구
17,서울특별시 구로구 (1153000000),"395,422","184,142",2.15,"194,182","201,240",0.96,구로구
18,서울특별시 금천구 (1154500000),"229,395","119,830",1.91,"115,635","113,760",1.02,금천구
19,서울특별시 영등포구 (1156000000),"376,410","189,857",1.98,"184,956","191,454",0.97,영등포구
20,서울특별시 동작구 (1159000000),"379,622","186,053",2.04,"183,606","196,016",0.94,동작구
21,서울특별시 관악구 (1162000000),"487,430","285,206",1.71,"245,125","242,305",1.01,관악구
22,서울특별시 서초구 (1165000000),"405,126","168,173",2.41,"193,397","211,729",0.91,서초구
23,서울특별시 강남구 (1168000000),"529,962","233,325",2.27,"253,498","276,464",0.92,강남구
24,서울특별시 송파구 (1171000000),"658,868","285,420",2.31,"317,024","341,844",0.93,송파구
25,서울특별시 강동구 (1174000000),"460,280","202,589",2.27,"225,280","235,000",0.96,강동구
